id,name,node_type,category,subtype,brings,agenda,key_people,website,ein,filings_url,latest_fy_revenue,grant_programs,next_date,events,warm_path,fit_score,the_ask,sources,verify_flags
city_ca,City of San Diego — Cultural Affairs Division / Commission for Arts and Culture,org,public funder,municipal (division of Economic Development),"money,doors","Creative City plan (Nov 2024): centering artists and spaces, creative entrepreneurship. FY27 grants restored to $10.35M after proposed cut to $2M. State-Local Partner for CAC; administers CAC Individual Artists Fellowship Region 8.","Christina Bibler (Econ Dev Director); Christine E. Jones (senior staff; CAC liaison, christinej@sandiego.gov); Rachel Laing (Asst Deputy Director); Olivia Jones (Funding Manager); Bell Reza (commission liaison); chair Alessandra Moctezuma; commissioners incl. Kamaal Martin, Vanessa Ybarra Davis, Abe Hughes",https://www.sandiego.gov/economic-development/cultural-affairs,,,FY27 arts/culture $10.35M (FY26 $13.8M),"OSP (city-HQ 501c3, 2 yrs own board, no fiscal sponsor); CCSD (county-HQ, fiscal sponsor OK, min $5k); CAC IAF ($5k/$10k/$50k, ~Apr); FY28 est. open Oct 2026, Part 1 mid-Nov",2026-10-22,"Commission 4th Thu (3rd in Nov/Dec) 1:30pm; Oct 22, Nov 19, Dec 17 2026",Christine Jones via Glus,5,CCSD FY28 via TAS/sponsor; IAF for creatives; public comment Oct 22,https://www.sandiego.gov/economic-development/cultural-affairs/funding/apply; https://www.sandiego.gov/economic-development/cultural-affairs/funding/iaf; https://www.sandiego.gov/economic-development/cultural-affairs/meetings,FY28 dates pattern-based; ED title unclear; final FY27 total unconfirmed
city_council,San Diego City Council & Mayor,org,public body,elected,"money,doors","Mayor Gloria proposed the FY27 cut; Council (LaCava, Lee, Foster) restored.","Todd Gloria (Mayor); Joe LaCava (Council President, D1); Kent Lee (Pro Tem); Henry Foster III (Budget chair); Jen Campbell (D2); Stephen Whitburn (D3)",https://www.sandiego.gov/citycouncil,,,,"D2 Arts, Culture & Community Festivals fund (unconfirmed)",,,,2,,,ACCF fund unconfirmed; no arts committee found
county,County of San Diego — Board of Supervisors; Community Enhancement & Neighborhood Reinvestment Programs,org,public funder,county,"money,doors","$2.75M arts initiative (May 2026); CEP funds cultural programming; NRP funds capital; rolling, no deadline, apply per district.","D1 Paloma Aguirre; D2 Joel Anderson (La Mesa; District2Grants@sdcounty.ca.gov); D3 Terra Lawson-Remer (Encinitas/Del Mar/coastal; District3Grants@sdcounty.ca.gov, 619-531-5533); D4 Monica Montgomery Steppe; D5 Jim Desmond",https://www.sandiegocounty.gov/content/sdc/cao/edga/grants.html,,,,CEP (rolling; tax-exempt + CA AG + SOS); NRP (rolling; capital/equipment only),rolling,,Cold; local,5,TAS files D3 CEP (Nov 6) and D2 CEP (cohort); NRP for equipment,https://www.sandiegocounty.gov/content/sdc/cao/edga/grants/community-enhancement.html; https://www.sandiegocounty.gov/content/sdc/cao/edga/grants/neighborhood-reinvestment.html,Per-district giving patterns not reviewed
county_acc,County of San Diego Arts & Culture Commission,org,public body,advisory commission (13),doors,Advisory; seeking Local Arts Agency designation.,"Jim Gilliam (chair, D5); Bob Lehman (vice chair, D4; SDAM ED); Jay Bell (D3); Monica Hernandez (D1); Felicia Shaw (D4)",https://www.sandiegocounty.gov/content/sdc/cao/edga/arts-culture-commission/members.html,,,,,,arts@sdcounty.ca.gov 619-346-8572,Lehman via SDAM,3,Introduce the platform,,
cac,California Arts Council,org,public funder,state agency,money,"Impact Projects (≤$25k), General Operating (≤$30k), Arts Education (≤$25k), State-Local Partners, Individual Artists Fellowship; fiscal sponsors OK; Creative Corps sunset.","Roque Barros, Vicki Estrada (San Diego), Leah Goodwin (Imperial Beach) — council members; chair Roxanne Messina Captor",https://arts.ca.gov,,,,2026-27 deadline May 12 2026 (passed); next ~Mar-May 2027,2027-05-01,,City Cultural Affairs (SLP),3,TAS Impact Projects 2027; creatives to IAF,https://arts.ca.gov/grant_program/; https://arts.ca.gov/about/council-members/,2027 dates pattern-based
nea,National Endowment for the Arts,org,public funder,federal,money,GAP $10k-$100k; Challenge America $10k; requires 5-year programming history; fiscal sponsors barred.,,https://www.arts.gov/grants/grants-for-arts-projects,,,,FY28 ~Feb 2027 / ~Jul 2027,2027-02-01,,,1,Not viable before ~2029,https://www.arts.gov/sites/default/files/FY27-GAP-Program-Guidelines-Final-GAP2-V3.pdf,FY28 dates estimated
calhum,California Humanities — Humanities for All,org,public funder,state humanities council,money,$10-25k project grants; suspended 2025; partial resumption 2026; status unclear.,,https://calhum.org/grants-fellowships/humanities-for-all/,,,,,,,,1,Confirm status,,Status unclear
port,Port of San Diego — Tidelands Activation Program,org,public funder,quasi-public,"money,space",Free public events on tidelands; Community/Civic/Expanded Access categories.,TAP@portofsandiego.org,https://www.portofsandiego.org/tidelands-activation-program,,,,TAP deadline May 1 2027 5pm,2027-05-01,,,2,A bayfront showcase later,,FY labeling ambiguous
airport,San Diego County Regional Airport Authority — Arts Program,org,public body,quasi-public,"space,doors","Temporary Exhibitions (regional artists, institutions, community groups); Performing Arts residency; new 10-year Arts Master Plan in progress.",,https://www.san.org/arts/,,,,Rolling calls,rolling,,Cold,3,Garden artists to Temporary Exhibitions,https://www.san.org/the-arts-program/art-opportunities/,
encinitas,City of Encinitas — Cultural Arts Division / Commission for the Arts / Pacific View Arts Center,org,public body,municipal (Nov 6 host city),"space,people",PVAC city-run since Aug 2024 at 380 W F St; civic-space exhibition call ~Apr 2027; sculpture loan; skate-park mural.,"Danielle Deery, Nicole Argamosa, Amanda Banks, Ben Powell, Grace Spath (PVAC instructors); pvac@encinitasCA.gov (760) 943-2160",https://encinitasca.gov/community/cultural-arts,,,,Exhibition call opens ~Apr 2027,2027-04-01,,Cold; Jim Gilliam (County chair) was Encinitas arts admin,4,Nov 6 cross-promo; Deery coffee,https://encinitasca.gov/community/pacific-view,Commission roster not retrieved; Community Grant Program / Arts Alive not found; EACEA not found
carlsbad,City of Carlsbad — Cultural Arts Division / Arts Commission / Community Arts Grants,org,public funder,municipal,"money,space",Free arts programs; Cannon Art Gallery; Community Arts Grants (FY26-27 decided Jun 4 2026); 2018 Arts & Culture Master Plan; Arts Commission 1st Thu 5:30pm.,"Craddock Stropes (Cultural Arts Manager, arts@carlsbadca.gov 442-339-2726); Krystal Roa (Community Arts Grants, krystal.roa@carlsbadca.gov 442-339-5611)",https://www.carlsbadca.gov/departments/cultural-arts,,,,Community Arts Grants next ~spring 2027; portal grantinterface.com urlkey=carlsbad,2027-03-01,Arts Commission 1st Thursday 5:30pm,Cold,3,Get on Roa radar,,Amounts unpublished; 2027 dates estimated
oceanside_city,City of Oceanside (Cultural District),org,public body,municipal,space,Oceanside Cultural District (2017 California Cultural District); no live Arts Commission found.,,https://www.oceansideca.org,,,,,,,,1,Use OMA and MainStreet Oceanside instead,,Arts Commission status unverified
lamesa,City of La Mesa,org,public body,municipal (TAS home),,No arts commission or arts grant program found; public path is County D2.,,,,,,,,,,1,,,City site unreachable
delmarfdn,Del Mar Foundation,org,private funder,community foundation (Del Mar),money,~$138k/yr incl. diverse cultural programs and community events in Del Mar; fiscal sponsorship services.,info@delmarfoundation.org (858) 635-1363,https://www.delmarfoundation.org/grants/,95-3718831,,,Grants (deadline not stated),,,Cold,2,A Del Mar-based program,,Deadline not found
arts_nc,"A Reason To Survive (ARTS), National City",org,institution,creative youth development nonprofit (peer),people,South County youth 12-24; ARTS@Work; scaled to $1.65M.,,https://areasontosurvive.org,33-0963135,https://projects.propublica.org/nonprofits/organizations/330963135,FY2024 revenue $1.65M,,,,,1,Peer comp for fiscal-sponsor conversations,,Leadership not confirmed
sdf,The San Diego Foundation,org,private funder,community foundation,"money,doors",$1.48B net assets; arts no longer a listed impact area; Creative Catalyst (2013-19) appears dormant; ~70% donor-directed (DAFs); Coastal Community Foundation office in Encinitas absorbed 2024; regional affiliates run open calls.,"Mark Stuart (CEO, single source); Matt Fettig (CIO/CFO); Jillian Kodama (SDAM secretary); Jason Rogers (advisor symposium)",https://www.sdfoundation.org,95-2942582,https://projects.propublica.org/nonprofits/organizations/952942582,FY6/2025 revenue $196.9M; net assets $1.484B,"Safe & Stable Housing Fund (Oct 2 2026; not arts); affiliates: Carlsbad Charitable ($15-40k arts; LOI ~Mar), Oceanside Charitable",2026-10-07,Professional Advisor Symposium Oct 7 (invite); Fifty & Forward close Oct 2026; SD Fundraising Conference Sept 14-15 2027,DAF holders; Encinitas office 619-814-1332,3,DAF-holder intros for Nov 6; confirm Creative Catalyst status,https://www.sdfoundation.org/community-impact/impact-areas/,CEO single-source; Creative Catalyst dormant?
carlsbad_cf,Carlsbad Charitable Foundation (SDF affiliate),org,private funder,community foundation affiliate,money,2026-27 cycle funds arts & culture programs serving Carlsbad; fiscal sponsorship allowed.,,https://carlsbadcharitablefoundation.org,,,,$15k-$40k; LOI early March,2027-03-02,,SDF,3,TAS/AP if a Carlsbad program exists,,Deadline Mar 2 vs 6 conflict
rsff,Rancho Santa Fe Foundation,org,private funder,community foundation (North County),"money,doors",Invitation-only Community Impact Fund (~$180k/yr); DAFs; RSF Women's Fund affiliated.,Ben Moraga (CEO); Abigail Jones (Community Leadership); Lindsay Langford CFRE (Growth & Strategy); info@rsffoundation.org (858) 756-6557,https://rsffoundation.org,,,,Invitation only,,,Cold,2,Relationship with Jones/Langford,https://rsffoundation.org/about-us/our-team/,EIN not confirmed
rsfwf,Rancho Santa Fe Women's Fund,org,private funder,giving circle,money,~$400k/yr pooled; rotating theme; LOI + site visits.,,https://rsfwomensfund.org,,,,Annual LOI; theme rotates,,,Haley-shaped door,3,LOI when theme fits,,Cycle dates unknown
sdwf,San Diego Women's Foundation (SDF fund),org,private funder,giving circle,money,~$250k/yr; one theme/yr; member-voted; $25k+ grants.,,https://sdwomensfoundation.org,33-0907092,https://projects.propublica.org/nonprofits/organizations/330907092,FY2025 revenue $808k; net assets $6.3M,Annual,,,,2,,,
laspatronas,Las Patronas,org,private funder,"giving circle (La Jolla, 1946)",money,Capital items only; $20k+ major beneficiaries + smaller grants twice yearly; 501c3 3+ years.,"Dagmar Smek (VP Grants, grants@laspatronas.org)",https://www.laspatronas.org,,,,Winter & summer cycles,,Annual gala (spring),Cold,2,Equipment/studio buildout when TAS is 3 yrs old,,Exact deadlines unpublished
leichtag,Leichtag Foundation / Leichtag Commons / The Hive,org,private funder,family foundation + Encinitas campus,"space,people,money",67.5-acre Encinitas campus; The Hive coworking (~30 nonprofit tenants); Coastal Roots Farm; grantmaking status uncertain (reported merger into JCF Aug 2025).,Jim Farley (Executive Chair),https://leichtag.org,,,,,,,Cold,3,Venue/coworking partner; confirm grant status by phone,https://workthehive.com,Merger into JCF unconfirmed on own site
picerne,Kenneth A. Picerne Foundation — Artist Outreach Project,org,private funder,family foundation,money,$15k stipend + materials for 12-month artist project serving underserved populations in North SD County; artists 55+; nonprofit partner required.,"Victor Nelson (ED, vnelson@picernefoundation.org (949) 267-1517)",https://picernefoundation.org/programs/artist-outreach-project/,,,,2026 deadline Apr 17 (passed); next ~Apr 2027,2027-04-17,,Cold,3,An elder Garden artist with TAS as partner,,2027 date estimated
parker,The Parker Foundation,org,private funder,family foundation (1971),money,"$48M+ assets; ~22% arts; grantees Mingei, SD Opera, MCASD, Playwrights Project; co-funder of Artists Count; online application ongoing.",,https://theparkerfoundation.org,,,,Rolling online application,rolling,,Cold,3,TAS applies,,EIN not confirmed; deadlines page not retrieved
cushman,Cushman Foundation (via Jewish Community Foundation CAP),org,private funder,family foundation,money,"Seniors, arts & culture, education, health; $100-$1.05M awards; excludes religious institutions, individuals, galas, general operating.",cap.jcfsandiego.org (858) 549-2874,https://cap.jcfsandiego.org,33-0643458,,FY6/2025 revenue $5.45M; net assets $36.9M; disbursements $4.0M,Per JCF cycle,,,Cold,2,TAS with secular arts-education framing,,Cycle dates not retrieved
wmf,William Male Foundation,org,private funder,artist-grant foundation,money,"Grants to individual San Diego County artists 18+; $1,000-$5,000; year-round applications; decisions Apr 1 and Oct 1.",info@WilliamMaleFoundation.org; 6170 Cornerstone Ct E #100,https://williammalefoundation.org/apply,,,,Jul 1-Dec 31 -> Apr 1; Jan 1-Jun 30 -> Oct 1,2026-12-31,,Open,5,Every Garden creative applies,https://williammalefoundation.org/recipients-master-list,
sahm,Sahm Family Foundation,org,private funder,family foundation,money,Children/seniors and fine & performing arts; NOT accepting requests.,,https://www.sahmfamilyfoundation.org,33-0753690,https://projects.propublica.org/nonprofits/organizations/330753690,FY2025 grants ~$3.0M; net assets $58.6M,Closed,,,,1,Track,,
price,Price Philanthropies,org,private funder,family foundation (City Heights),money,No unsolicited requests; Sakara Tear takes meeting requests.,Sakara Tear (stear@pricephilanthropies.org),https://pricephilanthropies.org,,,,Invitation,,,,1,Only with a City Heights program,,
seuss,Dr. Seuss Foundation,org,private funder,family foundation,money,"Education, arts, health; legacy institution funder; relationship-based.",,https://drseussfoundation.org,,,,Invitation,,,,1,,,
dickinson,Donald C. & Elizabeth M. Dickinson Foundation,org,private funder,family foundation,money,"Education, medicine, arts; grantees ICA SD, Mingei, SDMA, Symphony; preselected only.",,https://www.thedickinsonfoundation.org,33-0653203,,$11M/78 grants 2020-24,Invitation,,,,1,,,Separate Dickinson Family Foundation EIN 88-1705489
jacobs,Joan & Irwin Jacobs (personal philanthropy),org,private funder,individual donors,money,Largest individual arts donors: $10M Liberty Station PAC; $4.5M Opera-Symphony fund (Jan 2026); MCASD naming.,Irwin Jacobs,,,,,Relationship via institutions,,,,1,,,
scripps_fdn,Ellen Browning Scripps Foundation,org,private funder,family foundation,money,Preselected only; ~$10M assets; arts among interests.,,,95-1644633,,,Invitation,,,,1,,,Aggregator-sourced
nordson,Nordson Corporation Foundation,org,corporate,corporate foundation,money,"Invitation only; performing arts eligible; funds SD Children's Choir, Contemporary Youth Orchestra.",,https://www.nordson.com,,,,Invitation,,,,1,,,
farrell,Farrell Family Foundation,org,private funder,family foundation,money,SD-only; arts criterion favors community access and matching funds; periodic cycles.,,,,,,Periodic,,,,2,,,No primary site; aggregator only
hervey,Hervey Family Fund (at SDF),org,private funder,donor-advised endowment,money,Broad; gave $15k to Voices of Our City Choir; reached via SDF donor relations.,,https://www.sdfoundation.org,,,,Via SDF,,,,1,,,
bofa,Bank of America,org,corporate,bank,money,Neighborhood Builders (spring 2027); arts money flows as sponsorship (LJ Playhouse 2026/27); Pamela McCarthy on DSDP board.,Pamela McCarthy (DSDP secretary),https://about.bankofamerica.com,,,,Neighborhood Builders reopens spring 2027,2027-03-01,,DSDP,2,Sponsorship ask,,
missionfed,Mission Federal Credit Union,org,corporate,credit union sponsor,money,Title sponsor of Mission Fed ArtWalk (Little Italy Apr; Liberty Station Aug; Carlsbad Sept); Symphony/Rady Shell.,,https://www.missionfed.com,,,,Sponsorship,,ArtWalk Carlsbad Sept 19-20 2026; Little Italy ~Apr 2027,Cold,3,Nov 6 sponsorship ask,https://www.artwalksandiego.org,
usbank,US Bank,org,corporate,bank,money,LJ Playhouse sponsor; Create the Future Awards title sponsor.,,,,,,Sponsorship,,,DSDP,2,,,
qualcomm_fdn,Qualcomm Charitable Foundation,org,corporate,corporate foundation,money,No unsolicited requests; culturally vibrant communities pillar; LJ Playhouse and Design Week sponsor.,,https://www.qualcomm.com/about/citizenship,27-4621444,,,Invitation,,,,1,,,
sycuan,Sycuan Band of the Kumeyaay Nation — Sycuan Cares,org,tribal,tribal giving,money,Donations/sponsorships incl. arts; mail-only requests with W-9; 3-4 weeks; holiday ceremony $175-190k/yr.,"Lauren Morrow (Community Development Manager), 5485 Casino Way, El Cajon 92019",https://www.sycuan.com/sycuan-cares/,,,,Rolling (3-4 wk lead),rolling,Holiday Gift Giving (Dec),Cold,3,Nov 6 sponsorship request now,,
viejas,Viejas Band of Kumeyaay Indians,org,tribal,tribal giving,money,"~$2M/yr; diversity, environment, youth/seniors, education, cultural preservation; excludes individuals, re-granters, most sectarian religious groups; 60 days lead.",community@viejas.com 619-445-3810,https://viejasbandofkumeyaay.org/viejas-community/community-support/,,,,Rolling (60 days),rolling,,Cold,2,TAS secular framing,,
barnabas,Barnabas Group San Diego,org,faith network,Christian philanthropy pitch network,"money,people,doors","Christian business leaders ($2,100/yr partners) hear vetted ministries at quarterly summits; Abiding Practice presented Mar 12 2025.","Curt Hensley (chair); Selah Binno (ED); Ron Flores (Ministry Engagement, Ron.Flores@BarnabasGroup.org); Corrina Figueroa (Ops)",https://www.barnabasgroupsd.org,,,,Quarterly presentation slots,,Quarterly summits,David Russo (AP presented),5,AP re-presents with the platform,https://www.barnabasgroupsd.org/presenting-ministries-archive/abiding-practice,
fde,Faith Driven Entrepreneur — San Diego,org,faith network,entrepreneur network,people,8-week cohorts; SD Christian Chamber of Commerce runs an FDE study.,Carter Crockett (SD connector),https://faithdrivenentrepreneur.org,,,,,,,Cold,3,Reach Crockett,https://sdchristianchamber.com,
c12,C12 San Diego,org,faith network,Christian CEO forums,people,Peer forums for Christian CEOs; founding chair Mike Hudson (2015).,,https://www.joinc12.com/territories/san-diego/,,,,,,,,2,,,Current chair unconfirmed
convene,Convene (San Diego Team #3),org,faith network,Christian CEO roundtable,people,12-member CEO roundtable at Rancho Bernardo Inn.,Joe LaRussa (chair),https://convenenow.com,,,,,,,,2,,,
ncf,National Christian Foundation,org,faith network,DAF sponsor for Christian donors,money,Giving Funds = DAFs; $14.5B granted; no confirmed SD office.,,https://www.ncfgiving.com,,,,Via donors,,,,2,Ask prospects if they hold an NCF fund,,No local office confirmed
ncpc,North County Philanthropy Council,org,civic org,funder/nonprofit convening network,"doors,people",North County convening; grants-resource page; Impact Leadership Accelerator.,,https://ncphilanthropy.org,,,,Membership,,,Cold,3,Join for visibility,https://ncphilanthropy.org/grants/,
svp,Social Venture Partners San Diego,org,private funder,venture philanthropy,"money,people","$5,500+/yr partners fund and coach vetted investees.",,,,,,Partner nomination,,,,2,,,Current status unconfirmed
liberty,Arts District Liberty Station (NTC Foundation),org,venue,nonprofit campus operator; CA Cultural District 2026,"space,people,doors",100+ resident arts orgs; First Friday (5-9pm) with performance application; barracks refurbishment; Admiral NTC.,Lisa Johnson (President & CEO); James Halliday (VP & Chief Advancement Officer),https://ntcfoundation.org,90-0126641,https://projects.propublica.org/nonprofits/organizations/900126641,FY2023 revenue $6.4M; net assets $30M,First Friday performance application (rolling),rolling,First Friday monthly,"Halliday (SDAM, EFA)",5,Garden First Friday showcase; TAS resident conversation,https://ntcfoundation.org/friday-night-liberty-application,
ucsd_dl,UC San Diego Design Lab,org,university,research/civic design unit,"people,doors",Design@Large (Thu 4-5pm); founded Design Forward Alliance; hosted Glus Jan 28 2026.,Mai Nguyen (Director); Nadir Weibel; Daniela Deutsch,https://designlab.ucsd.edu,,,,,,Design@Large weekly,Glus; @designlabucsd,4,Design@Large slot; Design Week 2027,https://www.instagram.com/p/DT3uNa5kpr8/,Fall 2026 schedule not published
dfa,Design Forward Alliance / San Diego Design Week,org,civic org,volunteer 501(c)(3),"people,doors","Runs SD Design Week (Sept 15-20 2026; 100+ free activations); sponsors Adobe, Qualcomm, MCASD, DSDP, NewSchool.",,https://www.designforwardsd.com/,81-5389496,,,Sponsor/volunteer/participate,2027-09-01,Design Week annually in September,UCSD Design Lab,3,Participate in Design Week 2027,https://sddesignweek.org/,Leadership not named on site
ucsd_ah,UC San Diego — Arts & Humanities / ArtPower,org,university,university,"people,space",Dean sets arts agenda; ArtPower presents; hosted VAMP.,Cristina Della Coletta (Dean); Colleen Kollar Smith (ArtPower ED),https://artsandhumanities.ucsd.edu,,,,,,ArtPower season,Glus,2,,,
space4art,Space 4 Art,org,institution,artist studios nonprofit (East Village),"space,people",34 artists/22 studios; $200k Prebys grantee; ED named in Arts Edition.,Jennifer de Poyen (ED),https://www.sdspace4art.org,27-4003216,https://projects.propublica.org/nonprofits/organizations/274003216,FY2023 revenue $538k,Studio applications (unpublished),,,Cold,3,Peer partnership,,
breadsalt,Bread & Salt,org,venue,private arts complex (Barrio Logan),"space,people","45,000 sq ft galleries, live/work, residency, publishing.",James Brown (owner); Isabel Dutra,https://publicarchitectureanddevelopment.com,,,,Residency (terms unpublished),,,Ours (Sept 4 first table),3,Residency/venue,,No 501c3 found
