source_id,target_id,relationship,detail,evidence_url,confidence
qualcomm_fdn,ljp,sponsors,2026/27 season sponsor,https://lajollaplayhouse.org,high
missionfed,littleitaly,sponsors,"Title sponsor, Mission Fed ArtWalk",https://www.artwalksandiego.org,high
missionfed,symphony,sponsors,Rady Shell programs,https://www.missionfed.com,high
sdf,carlsbad_cf,parent_of,Regional affiliate,https://www.sdfoundation.org,high
sdf,sdwf,parent_of,Hosted fund,https://sdwomensfoundation.org,high
sdf,hervey,parent_of,Donor-advised endowment,https://www.sdfoundation.org,high
hervey,stpauls,funds,$15k to Voices of Our City Choir (St. Paul's partner),,high
cushman,sdf,administered_by,Cushman applications run through Jewish Community Foundation CAP (not SDF),https://cap.jcfsandiego.org,low
rsff,rsfwf,partners,Closely associated giving circle,https://rsffoundation.org,high
ap,lightchurch,partners,Light Church (San Diego) listed as partner,https://www.abidingpractice.com/community,high
ap,tas,partners,TAS listed as partner,https://www.abidingpractice.com/community,high
ap,barnabas,presented_to,"Presenting ministry, Mar 12 2025",https://www.barnabasgroupsd.org/presenting-ministries-archive/abiding-practice,high
p_danny,rock,employed_by,Executive Creative Director,https://theorg.com/org/rock-church/org-chart/danny-barragan,high
p_danny,littleitaly,based_in,Monthly gathering in Little Italy (per Rick; not public),,low
fde,p_crockett,represented_by,SD connector,https://faithdrivenentrepreneur.org,high
nccc,nccc,hosts,"Faith, Work & The Arts community group",,medium
stjames,stjames,hosts,St. James GALLERY by-the-Sea; Music Series,https://sjbts.org,high
plnu,p_nelson,employs,Writer's Symposium founder,https://www.pointloma.edu/events/writers-symposium-sea,high
lightchurch,lapaloma,venue_at,Sunday services at La Paloma Theatre,https://www.lightsandiego.com/home,high
tas,county,applicant_to,D2/D3 CEP/NRP (planned),,medium
tas,city_ca,applicant_to,CCSD FY28 (planned),,medium
p_homestead,tas,knows,On Aug 27 call with Rick,,medium
cm,cm,recurs,Last Friday monthly,https://creativemornings.com/cities/sd,high
